<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28607 <TEAM> NIPPON STEEL SAKAI BLAZERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 28607 <TEAM> NIPPON STEEL SAKAI BLAZERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28612 <TEAM> WOLFDOGS NAGOYA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28612 <TEAM> WOLFDOGS NAGOYA <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28618 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28618 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 28618 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 28613 <TEAM> WOLFDOGS NAGOYA <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28613 <TEAM> WOLFDOGS NAGOYA <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 28613 <TEAM> Tokyo Great Bears <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28617 <TEAM> NIPPON STEEL SAKAI BLAZERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28617 <TEAM> NIPPON STEEL SAKAI BLAZERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 28617 <TEAM> NIPPON STEEL SAKAI BLAZERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 28619 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28619 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 28619 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
